Week,Index,SearchWord,Category
2018-02-04,3,Florence,All
2018-02-11,3,Florence,All
2018-02-18,3,Florence,All
2018-02-25,3,Florence,All
2018-08-19,3,Florence,All
2018-10-21,3,Florence,All
2018-11-04,3,Florence,All
2018-11-18,3,Florence,All
2018-11-25,3,Florence,All
2018-12-02,3,Florence,All
2018-12-09,3,Florence,All
2018-12-16,3,Florence,All
2018-12-23,3,Florence,All
2018-12-30,3,Florence,All
2019-01-06,3,Florence,All
2019-01-13,3,Florence,All
2019-01-20,3,Florence,All
2019-10-06,3,Florence,All
2019-10-13,3,Florence,All
2019-10-20,3,Florence,All
2019-10-27,3,Florence,All
2019-11-03,3,Florence,All
2019-11-10,3,Florence,All
2019-11-17,3,Florence,All
2019-11-24,3,Florence,All
2019-12-01,3,Florence,All
2019-12-08,3,Florence,All
2020-03-08,3,Florence,All
2020-03-15,3,Florence,All
2020-03-22,3,Florence,All
2020-03-29,3,Florence,All
2020-04-05,3,Florence,All
2020-04-12,3,Florence,All
2020-04-19,3,Florence,All
2020-04-26,3,Florence,All
2020-05-03,3,Florence,All
2020-05-17,3,Florence,All
2020-05-24,3,Florence,All
2020-05-31,3,Florence,All
2020-06-07,3,Florence,All
2020-06-14,3,Florence,All
2020-06-21,3,Florence,All
2020-06-28,3,Florence,All
2020-07-05,3,Florence,All
2020-07-12,3,Florence,All
2020-07-19,3,Florence,All
2020-07-26,3,Florence,All
2020-08-02,3,Florence,All
2020-08-09,3,Florence,All
2020-08-16,3,Florence,All
2020-08-23,3,Florence,All
2020-08-30,3,Florence,All
2020-09-06,3,Florence,All
2020-09-13,3,Florence,All
2020-09-20,3,Florence,All
2020-09-27,3,Florence,All
2020-10-04,3,Florence,All
2020-10-11,3,Florence,All
2020-10-25,3,Florence,All
2020-11-08,3,Florence,All
2020-11-15,3,Florence,All
2020-11-29,3,Florence,All
2020-12-13,3,Florence,All
2020-12-27,3,Florence,All
2021-01-03,3,Florence,All
2021-01-10,3,Florence,All
2021-01-17,3,Florence,All
2021-01-24,3,Florence,All
2021-01-31,3,Florence,All
2021-02-07,3,Florence,All
2021-02-21,3,Florence,All
2021-02-28,3,Florence,All
2021-03-07,3,Florence,All
2021-03-14,3,Florence,All
2021-03-21,3,Florence,All
2021-03-28,3,Florence,All
2021-04-04,3,Florence,All
2021-04-11,3,Florence,All
2021-04-18,3,Florence,All
2021-04-25,3,Florence,All
2021-05-02,3,Florence,All
2021-05-09,3,Florence,All
2021-05-16,3,Florence,All
2021-05-23,3,Florence,All
2021-05-30,3,Florence,All
2021-06-06,3,Florence,All
2021-06-13,3,Florence,All
2021-06-20,3,Florence,All
2021-06-27,3,Florence,All
2021-08-08,3,Florence,All
