Week,Index,SearchWord,Category,Country
04-02-2018,43,Florence,All,US
11-02-2018,37,Florence,All,US
18-02-2018,72,Florence,All,US
25-02-2018,35,Florence,All,US
19-08-2018,35,Florence,All,US
21-10-2018,75,Florence,All,US
04-11-2018,76,Florence,All,US
18-11-2018,64,Florence,All,US
25-11-2018,76,Florence,All,US
02-12-2018,69,Florence,All,US
09-12-2018,55,Florence,All,US
16-12-2018,68,Florence,All,US
23-12-2018,38,Florence,All,US
30-12-2018,79,Florence,All,US
06-01-2019,47,Florence,All,US
13-01-2019,70,Florence,All,US
20-01-2019,77,Florence,All,US
06-10-2019,64,Florence,All,US
13-10-2019,42,Florence,All,US
20-10-2019,30,Florence,All,US
27-10-2019,35,Florence,All,US
03-11-2019,49,Florence,All,US
10-11-2019,43,Florence,All,US
17-11-2019,56,Florence,All,US
24-11-2019,35,Florence,All,US
01-12-2019,30,Florence,All,US
08-12-2019,58,Florence,All,US
08-03-2020,38,Florence,All,US
15-03-2020,62,Florence,All,US
22-03-2020,65,Florence,All,US
29-03-2020,30,Florence,All,US
05-04-2020,59,Florence,All,US
12-04-2020,50,Florence,All,US
19-04-2020,72,Florence,All,US
26-04-2020,38,Florence,All,US
03-05-2020,29,Florence,All,US
17-05-2020,39,Florence,All,US
24-05-2020,34,Florence,All,US
31-05-2020,65,Florence,All,US
07-06-2020,43,Florence,All,US
14-06-2020,40,Florence,All,US
21-06-2020,37,Florence,All,US
28-06-2020,60,Florence,All,US
05-07-2020,43,Florence,All,US
12-07-2020,30,Florence,All,US
19-07-2020,34,Florence,All,US
26-07-2020,81,Florence,All,US
02-08-2020,62,Florence,All,US
09-08-2020,53,Florence,All,US
16-08-2020,63,Florence,All,US
23-08-2020,50,Florence,All,US
30-08-2020,71,Florence,All,US
06-09-2020,61,Florence,All,US
13-09-2020,41,Florence,All,US
20-09-2020,36,Florence,All,US
27-09-2020,41,Florence,All,US
04-10-2020,80,Florence,All,US
11-10-2020,36,Florence,All,US
25-10-2020,81,Florence,All,US
08-11-2020,75,Florence,All,US
15-11-2020,33,Florence,All,US
29-11-2020,35,Florence,All,US
13-12-2020,54,Florence,All,US
27-12-2020,54,Florence,All,US
03-01-2021,60,Florence,All,US
10-01-2021,66,Florence,All,US
17-01-2021,42,Florence,All,US
24-01-2021,39,Florence,All,US
31-01-2021,55,Florence,All,US
07-02-2021,47,Florence,All,US
21-02-2021,71,Florence,All,US
28-02-2021,81,Florence,All,US
07-03-2021,77,Florence,All,US
14-03-2021,71,Florence,All,US
21-03-2021,65,Florence,All,US
28-03-2021,80,Florence,All,US
04-04-2021,36,Florence,All,US
11-04-2021,55,Florence,All,US
18-04-2021,69,Florence,All,US
25-04-2021,62,Florence,All,US
02-05-2021,66,Florence,All,US
09-05-2021,65,Florence,All,US
16-05-2021,71,Florence,All,US
23-05-2021,38,Florence,All,US
30-05-2021,57,Florence,All,US
06-06-2021,41,Florence,All,US
13-06-2021,38,Florence,All,US
20-06-2021,30,Florence,All,US
27-06-2021,39,Florence,All,US
08-08-2021,39,Florence,All,US
15-08-2021,59,Florence,All,US
22-08-2021,35,Florence,All,US
29-08-2021,59,Florence,All,US
05-09-2021,29,Florence,All,US
12-09-2021,70,Florence,All,US
19-09-2021,67,Florence,All,US
26-09-2021,56,Florence,All,US
03-10-2021,54,Florence,All,US
10-10-2021,65,Florence,All,US
17-10-2021,36,Florence,All,US
24-10-2021,30,Florence,All,US
31-10-2021,71,Florence,All,US
07-11-2021,78,Florence,All,US
14-11-2021,36,Florence,All,US
21-11-2021,34,Florence,All,US
28-11-2021,73,Florence,All,US
05-12-2021,35,Florence,All,US
12-12-2021,37,Florence,All,US
19-12-2021,30,Florence,All,US
26-12-2021,56,Florence,All,US
09-01-2022,59,Florence,All,US
16-01-2022,80,Florence,All,US
23-01-2022,76,Florence,All,US
30-01-2022,50,Florence,All,US
06-02-2022,45,Florence,All,US
13-02-2022,66,Florence,All,US
20-02-2022,37,Florence,All,US
27-02-2022,46,Florence,All,US
13-03-2022,45,Florence,All,US
20-03-2022,42,Florence,All,US
10-04-2022,72,Florence,All,US
29-05-2022,62,Florence,All,US
12-06-2022,76,Florence,All,US
26-06-2022,71,Florence,All,US
03-07-2022,76,Florence,All,US
16-10-2022,41,Florence,All,US
27-11-2022,59,Florence,All,US
04-12-2022,61,Florence,All,US
11-12-2022,39,Florence,All,US
18-12-2022,73,Florence,All,US
25-12-2022,75,Florence,All,US
15-01-2023,44,Florence,All,US
22-01-2023,51,Florence,All,US
29-01-2023,61,Florence,All,US
04-02-2018,41,Croatia,All,US
18-02-2018,51,Croatia,All,US
25-02-2018,48,Croatia,All,US
04-03-2018,34,Croatia,All,US
11-03-2018,40,Croatia,All,US
01-04-2018,51,Croatia,All,US
08-04-2018,76,Croatia,All,US
15-04-2018,59,Croatia,All,US
22-04-2018,52,Croatia,All,US
29-04-2018,36,Croatia,All,US
16-09-2018,78,Croatia,All,US
23-09-2018,48,Croatia,All,US
30-09-2018,50,Croatia,All,US
14-10-2018,36,Croatia,All,US
30-12-2018,30,Croatia,All,US
06-01-2019,50,Croatia,All,US
13-01-2019,29,Croatia,All,US
20-01-2019,45,Croatia,All,US
27-01-2019,67,Croatia,All,US
03-02-2019,77,Croatia,All,US
10-02-2019,31,Croatia,All,US
17-02-2019,74,Croatia,All,US
24-02-2019,63,Croatia,All,US
03-03-2019,51,Croatia,All,US
10-03-2019,74,Croatia,All,US
17-03-2019,67,Croatia,All,US
31-03-2019,53,Croatia,All,US
07-04-2019,70,Croatia,All,US
14-04-2019,37,Croatia,All,US
21-04-2019,41,Croatia,All,US
28-04-2019,30,Croatia,All,US
15-09-2019,64,Croatia,All,US
22-09-2019,80,Croatia,All,US
29-09-2019,76,Croatia,All,US
06-10-2019,36,Croatia,All,US
13-10-2019,74,Croatia,All,US
29-12-2019,60,Croatia,All,US
05-01-2020,50,Croatia,All,US
12-01-2020,74,Croatia,All,US
19-01-2020,51,Croatia,All,US
26-01-2020,67,Croatia,All,US
16-02-2020,61,Croatia,All,US
23-02-2020,43,Croatia,All,US
22-03-2020,61,Croatia,All,US
21-06-2020,63,Croatia,All,US
28-06-2020,33,Croatia,All,US
05-07-2020,64,Croatia,All,US
12-07-2020,46,Croatia,All,US
19-07-2020,77,Croatia,All,US
02-08-2020,69,Croatia,All,US
23-08-2020,61,Croatia,All,US
30-08-2020,39,Croatia,All,US
11-10-2020,38,Croatia,All,US
15-11-2020,46,Croatia,All,US
30-05-2021,53,Croatia,All,US
05-09-2021,58,Croatia,All,US
12-09-2021,81,Croatia,All,US
19-09-2021,63,Croatia,All,US
10-10-2021,42,Croatia,All,US
14-11-2021,42,Croatia,All,US
20-02-2022,60,Croatia,All,US
27-02-2022,71,Croatia,All,US
06-03-2022,34,Croatia,All,US
