Week,Index,SearchWord,Category,Country
04-02-2018,61,Florence,All,US
11-02-2018,45,Florence,All,US
18-02-2018,61,Florence,All,US
25-02-2018,61,Florence,All,US
19-08-2018,61,Florence,All,US
21-10-2018,61,Florence,All,US
04-11-2018,61,Florence,All,US
18-11-2018,61,Florence,All,US
25-11-2018,61,Florence,All,US
02-12-2018,78,Florence,All,US
09-12-2018,61,Florence,All,US
16-12-2018,61,Florence,All,US
23-12-2018,61,Florence,All,US
30-12-2018,61,Florence,All,US
06-01-2019,41,Florence,All,US
13-01-2019,61,Florence,All,US
20-01-2019,61,Florence,All,US
06-10-2019,61,Florence,All,US
13-10-2019,61,Florence,All,US
20-10-2019,61,Florence,All,US
27-10-2019,61,Florence,All,US
03-11-2019,61,Florence,All,US
10-11-2019,0,Florence,All,US
17-11-2019,61,Florence,All,US
24-11-2019,61,Florence,All,US
01-12-2019,61,Florence,All,US
08-12-2019,61,Florence,All,US
08-03-2020,61,Florence,All,US
15-03-2020,61,Florence,All,US
22-03-2020,61,Florence,All,US
29-03-2020,61,Florence,All,US
05-04-2020,61,Florence,All,US
12-04-2020,61,Florence,All,US
19-04-2020,61,Florence,All,US
26-04-2020,61,Florence,All,US
03-05-2020,61,Florence,All,US
17-05-2020,61,Florence,All,US
24-05-2020,61,Florence,All,US
31-05-2020,61,Florence,All,US
07-06-2020,61,Florence,All,US
14-06-2020,61,Florence,All,US
21-06-2020,61,Florence,All,US
28-06-2020,61,Florence,All,US
05-07-2020,61,Florence,All,US
12-07-2020,61,Florence,All,US
19-07-2020,61,Florence,All,US
26-07-2020,61,Florence,All,US
02-08-2020,61,Florence,All,US
09-08-2020,61,Florence,All,US
16-08-2020,61,Florence,All,US
23-08-2020,61,Florence,All,US
30-08-2020,61,Florence,All,US
06-09-2020,61,Florence,All,US
13-09-2020,61,Florence,All,US
20-09-2020,61,Florence,All,US
27-09-2020,61,Florence,All,US
04-10-2020,61,Florence,All,US
11-10-2020,61,Florence,All,US
25-10-2020,61,Florence,All,US
08-11-2020,61,Florence,All,US
15-11-2020,61,Florence,All,US
29-11-2020,61,Florence,All,US
13-12-2020,61,Florence,All,US
27-12-2020,61,Florence,All,US
03-01-2021,61,Florence,All,US
10-01-2021,61,Florence,All,US
17-01-2021,88,Florence,All,US
24-01-2021,61,Florence,All,US
31-01-2021,61,Florence,All,US
07-02-2021,61,Florence,All,US
21-02-2021,61,Florence,All,US
28-02-2021,61,Florence,All,US
07-03-2021,61,Florence,All,US
14-03-2021,61,Florence,All,US
21-03-2021,61,Florence,All,US
28-03-2021,61,Florence,All,US
04-04-2021,61,Florence,All,US
11-04-2021,61,Florence,All,US
18-04-2021,61,Florence,All,US
25-04-2021,61,Florence,All,US
02-05-2021,61,Florence,All,US
09-05-2021,61,Florence,All,US
16-05-2021,61,Florence,All,US
23-05-2021,61,Florence,All,US
30-05-2021,61,Florence,All,US
06-06-2021,61,Florence,All,US
13-06-2021,61,Florence,All,US
20-06-2021,61,Florence,All,US
27-06-2021,61,Florence,All,US
08-08-2021,61,Florence,All,US
15-08-2021,76,Florence,All,US
22-08-2021,61,Florence,All,US
29-08-2021,61,Florence,All,US
05-09-2021,61,Florence,All,US
12-09-2021,61,Florence,All,US
19-09-2021,61,Florence,All,US
26-09-2021,61,Florence,All,US
03-10-2021,61,Florence,All,US
10-10-2021,61,Florence,All,US
17-10-2021,61,Florence,All,US
24-10-2021,61,Florence,All,US
31-10-2021,61,Florence,All,US
07-11-2021,61,Florence,All,US
14-11-2021,61,Florence,All,US
21-11-2021,61,Florence,All,US
28-11-2021,61,Florence,All,US
05-12-2021,61,Florence,All,US
12-12-2021,61,Florence,All,US
19-12-2021,61,Florence,All,US
26-12-2021,61,Florence,All,US
09-01-2022,61,Florence,All,US
16-01-2022,61,Florence,All,US
23-01-2022,61,Florence,All,US
30-01-2022,61,Florence,All,US
06-02-2022,61,Florence,All,US
13-02-2022,61,Florence,All,US
20-02-2022,61,Florence,All,US
27-02-2022,61,Florence,All,US
13-03-2022,61,Florence,All,US
20-03-2022,61,Florence,All,US
10-04-2022,61,Florence,All,US
29-05-2022,61,Florence,All,US
12-06-2022,61,Florence,All,US
26-06-2022,61,Florence,All,US
03-07-2022,61,Florence,All,US
16-10-2022,61,Florence,All,US
27-11-2022,61,Florence,All,US
04-12-2022,61,Florence,All,US
11-12-2022,61,Florence,All,US
18-12-2022,61,Florence,All,US
25-12-2022,61,Florence,All,US
15-01-2023,61,Florence,All,US
